attr	score	s1	s2
extra_info_sam	0.919691	carapace number mm	carapace numeric mm
extra_info_sam	0.92834747	hot yoga this shirt smells less	hot yoga shirt does not smell
extra_info_sam	0.75827265	previous shirt smells less	hot yoga shirt does not smell
extra_info_sam	0.8331484	previous shirt smells less	hot yoga this shirt smells less
extra_info_sam	0.7598184	does not notice a difference in shirts	hot yoga shirt does not smell
extra_info_sam	0.7069002	does not notice a difference in shirts	previous shirt smells less
extra_info_sam	0.7526956	blank	extraction blank number
extra_info_sam	0.711966	shirt feels slick	hot yoga this shirt smells less
extra_info_sam	0.73212284	shirt feels slick	previous shirt smells less
extra_info_sam	0.7009286	no big difference in smell	does not notice a difference in shirts
extra_info_sam	0.77205014	hot yoga	hot yoga shirt does not smell
extra_info_sam	0.80042535	hot yoga	hot yoga this shirt smells less
extra_info_sam	0.7136244	blank with swab	extraction blank number
extra_info_sam	0.74584144	blank with swab	blank
